-0.312	-7.194E-5	-7.5401E-5	-7.4259E-5	-7.4817E-5	-7.0097E-5	-6.9709E-5	-6.8078E-5	-6.7389E-5
-0.288	-6.2163E-5	-6.4872E-5	-6.4339E-5	-6.5918E-5	-6.0349E-5	-6.0283E-5	-5.8756E-5	-5.7604E-5
-0.264	-5.4277E-5	-5.6631E-5	-5.5976E-5	-5.6298E-5	-5.1627E-5	-5.1609E-5	-5.0619E-5	-5.0119E-5
-0.24	-4.6689E-5	-4.8706E-5	-4.8006E-5	-4.8577E-5	-4.4525E-5	-4.4522E-5	-4.3418E-5	-4.2817E-5
-0.216	-3.965E-5	-4.1287E-5	-4.2164E-5	-4.1228E-5	-3.7953E-5	-3.8024E-5	-3.7132E-5	-3.6755E-5
-0.192	-3.3288E-5	-3.4951E-5	-3.5234E-5	-3.4976E-5	-3.2203E-5	-3.2032E-5	-3.1259E-5	-3.0115E-5
-0.168	-2.7261E-5	-2.9316E-5	-2.8727E-5	-2.8176E-5	-2.6286E-5	-2.5568E-5	-2.6118E-5	-2.5429E-5
-0.144	-2.3199E-5	-2.4223E-5	-2.4326E-5	-2.3679E-5	-2.2271E-5	-2.1797E-5	-2.147E-5	-2.0861E-5
-0.12	-1.8812E-5	-1.989E-5	-1.9943E-5	-1.9003E-5	-1.7915E-5	-1.7735E-5	-1.7226E-5	-1.6632E-5
-0.096	-1.4962E-5	-1.5732E-5	-1.575E-5	-1.5128E-5	-1.3879E-5	-1.3934E-5	-1.3461E-5	-1.3239E-5
-0.072	-1.1295E-5	-1.1925E-5	-1.214E-5	-1.1556E-5	-1.0751E-5	-1.0514E-5	-1.0071E-5	-9.9543E-6
-0.048	-8.1611E-6	-8.6841E-6	-8.7065E-6	-8.3194E-6	-7.8171E-6	-7.4952E-6	-7.1315E-6	-6.903E-6
-0.024	-5.4282E-6	-5.7265E-6	-5.6393E-6	-5.426E-6	-5.0018E-6	-4.6371E-6	-4.6494E-6	-4.4629E-6
0	-2.5111E-6	-2.6129E-6	-2.6542E-6	-2.5114E-6	-2.2958E-6	-2.2526E-6	-2.1537E-6	-2.0826E-6
