E	l	cap	A	W	T0	T1	error
-8.242047e-01	1.067359e+00	1.823624e+00	-9.100763e-01	3.499231e-01	2.980000e+02	3.000000e+02	1.17363
-8.242047e-01	1.067359e+00	1.823624e+00	-9.100763e-01	3.499231e-01	2.980000e+02	3.000000e+02	1.17363
-8.242047e-01	1.067359e+00	1.823624e+00	-9.100763e-01	3.499231e-01	2.980000e+02	3.000000e+02	1.17363
-8.242047e-01	1.067359e+00	1.823624e+00	-9.100763e-01	3.499231e-01	2.980000e+02	3.000000e+02	1.17363
-8.242047e-01	1.067359e+00	1.823624e+00	-9.100763e-01	3.499231e-01	2.980000e+02	3.000000e+02	1.17363
-8.242047e-01	1.067359e+00	1.823624e+00	-9.100763e-01	3.499232e-01	2.980000e+02	3.000000e+02	1.17363
-7.266741e-01	1.267635e+00	1.928442e+00	-9.689840e-01	3.408117e-01	2.980000e+02	3.000000e+02	1.05032
-7.266741e-01	1.267635e+00	1.928442e+00	-9.689840e-01	3.408117e-01	2.980000e+02	3.000000e+02	1.05032
-7.266741e-01	1.267635e+00	1.928442e+00	-9.689840e-01	3.408117e-01	2.980000e+02	3.000000e+02	1.05032
-7.266741e-01	1.267635e+00	1.928442e+00	-9.689840e-01	3.408117e-01	2.980000e+02	3.000000e+02	1.05032
-7.266741e-01	1.267635e+00	1.928442e+00	-9.689840e-01	3.408117e-01	2.980000e+02	3.000000e+02	1.05032
-7.266741e-01	1.267635e+00	1.928442e+00	-9.689840e-01	3.408117e-01	2.980000e+02	3.000000e+02	1.05032
-7.266741e-01	1.267635e+00	1.928442e+00	-9.689840e-01	3.408117e-01	2.980000e+02	3.000000e+02	1.05032
-6.147568e-01	1.676663e+00	2.170012e+00	-9.061961e-01	1.572063e-01	2.980000e+02	3.000000e+02	1.07227
-6.147568e-01	1.676663e+00	2.170012e+00	-9.061961e-01	1.572063e-01	2.980000e+02	3.000000e+02	1.07227
-6.147568e-01	1.676663e+00	2.170012e+00	-9.061961e-01	1.572063e-01	2.980000e+02	3.000000e+02	1.07227
-6.147568e-01	1.676663e+00	2.170012e+00	-9.061961e-01	1.572063e-01	2.980000e+02	3.000000e+02	1.07227
-6.147568e-01	1.676663e+00	2.170012e+00	-9.061961e-01	1.572063e-01	2.980000e+02	3.000000e+02	1.07227
-6.147568e-01	1.676663e+00	2.170012e+00	-9.061961e-01	1.572063e-01	2.980000e+02	3.000000e+02	1.07227
-6.147568e-01	1.676663e+00	2.170012e+00	-9.061961e-01	1.572063e-01	2.980000e+02	3.000000e+02	1.07227
-6.732324e-01	1.462950e+00	2.043794e+00	-9.390021e-01	2.531381e-01	2.980000e+02	3.000000e+02	0.96698
-6.732324e-01	1.462950e+00	2.043794e+00	-9.390021e-01	2.531381e-01	2.980000e+02	3.000000e+02	0.96698
-6.732323e-01	1.462950e+00	2.043794e+00	-9.390021e-01	2.531381e-01	2.980000e+02	3.000000e+02	0.96698
-6.732324e-01	1.462950e+00	2.043794e+00	-9.390021e-01	2.531381e-01	2.980000e+02	3.000000e+02	0.96698
-6.732324e-01	1.462950e+00	2.043794e+00	-9.390021e-01	2.531381e-01	2.980000e+02	3.000000e+02	0.96698
-6.732324e-01	1.462950e+00	2.043794e+00	-9.390021e-01	2.531381e-01	2.980000e+02	3.000000e+02	0.96698
-6.732324e-01	1.462950e+00	2.043794e+00	-9.390021e-01	2.531381e-01	2.980000e+02	3.000000e+02	0.96698
-5.831873e-01	1.695541e+00	2.181391e+00	-9.457705e-01	2.002471e-01	2.980000e+02	3.000000e+02	0.90728
-5.831873e-01	1.695541e+00	2.181391e+00	-9.457705e-01	2.002471e-01	2.980000e+02	3.000000e+02	0.90728
-5.831872e-01	1.695541e+00	2.181391e+00	-9.457705e-01	2.002471e-01	2.980000e+02	3.000000e+02	0.90728
-5.831873e-01	1.695541e+00	2.181391e+00	-9.457705e-01	2.002471e-01	2.980000e+02	3.000000e+02	0.90728
-5.831873e-01	1.695541e+00	2.181391e+00	-9.457705e-01	2.002471e-01	2.980000e+02	3.000000e+02	0.90728
-5.831873e-01	1.695541e+00	2.181391e+00	-9.457705e-01	2.002471e-01	2.980000e+02	3.000000e+02	0.90728
-5.831873e-01	1.695541e+00	2.181391e+00	-9.457705e-01	2.002471e-01	2.980000e+02	3.000000e+02	0.90728
-5.475855e-01	1.796544e+00	2.241546e+00	-9.264416e-01	1.638576e-01	2.980000e+02	3.000000e+02	0.89988
-5.475855e-01	1.796544e+00	2.241546e+00	-9.264416e-01	1.638576e-01	2.980000e+02	3.000000e+02	0.89988
-5.475855e-01	1.796544e+00	2.241546e+00	-9.264416e-01	1.638576e-01	2.980000e+02	3.000000e+02	0.89988
-5.475855e-01	1.796544e+00	2.241546e+00	-9.264416e-01	1.638576e-01	2.980000e+02	3.000000e+02	0.89988
-5.475855e-01	1.796544e+00	2.241546e+00	-9.264416e-01	1.638576e-01	2.980000e+02	3.000000e+02	0.89988
-5.475855e-01	1.796544e+00	2.241546e+00	-9.264415e-01	1.638576e-01	2.980000e+02	3.000000e+02	0.89988
-5.475855e-01	1.796544e+00	2.241546e+00	-9.264416e-01	1.638576e-01	2.980000e+02	3.000000e+02	0.89988
-5.025744e-01	1.904141e+00	2.305650e+00	-9.257271e-01	1.407264e-01	2.980000e+02	3.000000e+02	0.89492
-5.025744e-01	1.904141e+00	2.305650e+00	-9.257271e-01	1.407264e-01	2.980000e+02	3.000000e+02	0.89492
-5.025743e-01	1.904141e+00	2.305650e+00	-9.257271e-01	1.407264e-01	2.980000e+02	3.000000e+02	0.89492
-5.025744e-01	1.904141e+00	2.305650e+00	-9.257271e-01	1.407264e-01	2.980000e+02	3.000000e+02	0.89492
-5.025744e-01	1.904141e+00	2.305650e+00	-9.257271e-01	1.407264e-01	2.980000e+02	3.000000e+02	0.89492
-5.025744e-01	1.904141e+00	2.305650e+00	-9.257271e-01	1.407264e-01	2.980000e+02	3.000000e+02	0.89492
-5.025744e-01	1.904141e+00	2.305650e+00	-9.257271e-01	1.407264e-01	2.980000e+02	3.000000e+02	0.89492
-4.929741e-01	1.932409e+00	2.321893e+00	-9.157462e-01	1.280548e-01	2.980000e+02	3.000000e+02	0.89328
-4.929741e-01	1.932409e+00	2.321893e+00	-9.157462e-01	1.280548e-01	2.980000e+02	3.000000e+02	0.89328
-4.929741e-01	1.932409e+00	2.321893e+00	-9.157462e-01	1.280548e-01	2.980000e+02	3.000000e+02	0.89328
